Ordem,Família,                                                                  I.Q.A,,,,
,,VERMELHO,LARANJA,AMARELO,VERDE,AZUL
Trichoptera,Hydroptilidae,11,2,0,0,3
,Leptoceridae,37,17,0,19,0
,Ecnomidae,11,3,0,1,0
,Odontoceridae,11,2,2,2,1
,Hydropsychidae,25,30,16,14,2
,Philopotamidae,6,2,17,10,3
,Anomalopsychidae,4,2,0,0,3
,Limnephilidae,0,0,0,0,0
,Glossosomatidae,6,0,0,0,0
,Sericostomatidae,0,1,1,2,1
,Leptoceridae,7,3,21,0,6
,Helicopsychidae,1,2,7,23,0
,Philopotamidae,14,4,0,0,0
,Hydrobiosidae,13,6,7,0,3
,Calamoceratidae,14,2,2,2,3
Plecoptera,Perlidae,3,10,6,6,0
,Gripopterygidae,1,2,8,8,0
Coleoptera,Dytiscidae,1,0,2,1,0
,Hydraenidae,0,0,0,1,0
,Hydroscaphidae,1,0,4,0,0
,Noteridae,1,0,0,0,0
,Elmidae,0,0,0,0,0
,Psephenidae,0,0,2,3,0
,Scirtidae,1,0,3,0,0
Reptil,Alligatoridae,20,24,2,0,0
Molusca,Teredinidae,5,0,0,0,0
,Aglajidae,0,0,0,0,0
,Ampullariidae,0,0,0,0,0
,Ancylidae,0,0,0,0,0
,Discodorididae,0,0,0,0,0
,Helicinidae,0,0,0,0,0
,Helicinidae,0,2,2,2,0
,Helicodiscidae,0,1,1,0,0
,Isognomonidae,1,1,1,0,0
,Mytilidae,0,1,1,0,0
,Physidae,4,1,7,5,0
,Planorbidae,1,1,1,1,0
,Planorbidae,0,0,0,0,0
,Rhytididae,1,3,2,2,0
,Rhytididae,0,0,1,0,0
,Solecurtidae,0,0,1,1,0
,Streptaxidae,0,0,1,0,0
,Subulinidae,1,0,1,0,0
,Veronicellidae,0,0,0,1,0
Hemiptera,Cicadellidae,1,0,22,12,0
,Membracidae,0,0,1,0,0
,Reduviidae,0,0,0,0,0
,Naucoridae,0,0,1,0,0
,Pleidae,0,0,1,0,0
,Gerridae,1,1,1,0,0
,Mesoveliidae,1,0,1,0,0
,Veliidae,0,0,1,0,0
Diptera,Chironomidae,5,8,8,8,2
,Chaoboridae,0,0,0,1,0
,Dixidae,2,2,7,2,0
,Tipulidae,2,6,0,2,2
,Bibionidae,1,0,7,1,0
Ephemeroptera,Baetidae,10,1,3,18,0
,Caenidae,0,0,0,0,0
,Euthyplociidae,4,0,0,0,0
,Leptophlebiidae,8,2,4,10,0
,Leptohyphidae,0,0,0,4,0
Decapoda,Sergestidae,2,2,5,5,0
,Penapeidae,7,17,0,0,0
,Portunidae,12,0,1,0,0
,Varunidae,1,0,0,0,0
,Palaemonidae,2,1,1,0,0
,Majidae,1,0,0,0,0
,Scyllaridae,1,0,0,0,0
,Porcellanidae,0,0,1,1,0
,Inachidae,0,1,1,1,0
,Majidae,0,0,0,0,0
,Diogenidae,0,1,0,0,0
,Pinnotheridae,1,2,1,0,0
,Sicyoniidae,0,0,0,0,0
,Alpheidae,0,1,2,0,0
,Ocypodidae,1,1,0,0,0
,Hippidae,0,0,0,0,0
,Alvinocarididae,0,0,0,0,0
,Galatheidae,0,0,0,0,0
,Solenoceridae,1,0,0,0,0
,Panopeidae,0,1,0,0,0
,Upogebiidae,1,1,0,0,0
,Hippolytidae,0,1,0,0,0
,Paguridae,0,0,0,0,0
Peixes,Clariidae,11,11,0,0,0
,Achiridae,24,19,21,0,0
,Anablepidae ,0,1,2,3,0
,Anostomidae ,20,4,3,5,0
,Atherinopsidae,0,1,1,2,0
,Auchenipteridae,45,46,81,69,0
,Callichthyidae,2,2,3,0,0
,Centropomidae,8,1,9,5,0
,Characidae ,1,0,0,0,0
,Cichlidae,72,52,97,68,0
,Clupeidae,10,16,10,20,0
,Crenuchidae,39,20,20,31,0
,Curimatidae ,0,0,2,0,0
,Eleotridae ,0,0,1,3,0
,Engraulidae,16,17,25,19,0
,Erythrinidae ,63,79,93,112,3
,Gerreidae,33,1,2,1,0
,Gobiidae,30,28,27,26,0
,Gymnotidae ,19,7,16,5,0
,Haemulidae,1,1,2,0,0
,Heptapteridae,0,1,0,1,0
,Hypopomidae,4,0,0,0,0
,Lebiasinidae,3,0,0,1,0
,Loricariidae  ,12,9,11,0,0
,Pimelodidae,5,1,1,0,0
,Poeciliidae ,0,1,2,0,0
,Prochilodontidae,4,1,3,4,1
,Pseudopimelodidae,1,3,8,5,0
,Rivulidae  ,2,3,0,4,0
,Sciaenidae ,1,0,3,6,0
,Sternopygidae,0,0,0,2,0
,Syngnathidae,3,0,0,3,0
,Tetraodontidae,41,24,40,30,2
,Trichomycteridae ,0,0,0,0,0
