ID_,lat_x,long_y,lat_x_D,long_y_D,Ordem_,lat_final,long_final
ID 5251,-21.1.014,-46.2.192,"-21,1","-46,2",Peixe,"-21,100","-46,200"
ID 5254,-20.4.939,-45.7.961,"-20,4","-45,7",Peixe,"-20,400","-45,700"
ID 5253,-21.9.142,-45.5.533,"-21,9","-45,5",Peixe,"-21,900","-45,500"
ID 5266,-21.9.142,-45.5.533,"-21,9","-45,5",Peixe,"-21,900","-45,500"
ID 5594,-21.9.142,-45.5.533,"-21,9","-45,5",Peixe,"-21,900","-45,500"
ID 5611,-21.9.142,-45.5.533,"-21,9","-45,5",Peixe,"-21,900","-45,500"
ID 5267,-21.5.567,-45.5.408,"-21,5","-45,5",Peixe,"-21,500","-45,500"
ID 5268,-21.5.567,-45.5.408,"-21,5","-45,5",Peixe,"-21,500","-45,500"
ID 5393,-21.5.567,-45.5.408,"-21,5","-45,5",Peixe,"-21,500","-45,500"
ID 5510,-21.5.567,-45.5.408,"-21,5","-45,5",Peixe,"-21,500","-45,500"
ID 5569,-21.5.567,-45.5.408,"-21,5","-45,5",Peixe,"-21,500","-45,500"
ID 5612,-21.5.567,-45.5.408,"-21,5","-45,5",Peixe,"-21,500","-45,500"
ID 2504,-23.191.306,-44.844.611,"-23,191","-44,844",Peixe,"-23,191","-44,844"
ID 2731,-23.191.306,-44.844.611,"-23,191","-44,844",Peixe,"-23,191","-44,844"
ID 2821,-23.191.306,-44.844.611,"-23,191","-44,844",Peixe,"-23,191","-44,844"
ID 3629,-23.191.306,-44.844.611,"-23,191","-44,844",Peixe,"-23,191","-44,844"
ID 2505,-23.19.825,-44.830.111,"-23,19","-44,83",Peixe,"-23,190","-44,830"
ID 1057,-23.215.278,-44.791.389,"-23,215","-44,791",Peixe,"-23,215","-44,791"
ID 231,-44.79.111.099,-23.21..416.664,"-44,79","-23,21",Peixe,"-23,210","-44,790"
ID 232,-44.79.111.099,-23.21..416.664,"-44,79","-23,21",Peixe,"-23,210","-44,790"
ID 362,-44.79.111.099,-23.21.416.664,"-44,79","-23,21",Peixe,"-23,210","-44,790"
ID 1891,-23.209.361,-44.79.425,"-23,209","-44,79",Peixe,"-23,209","-44,790"
