LOCALIDADE,LATITUDE,LONGITUDE,CLASSE,GENERO,FAMILIA,ESPECIE,NUMERO DE REGISTRO NO PORTAL,NOME COMUM,,,,,,,,,,,,,,,,-22.586.156,,Estado/Provincia,,Numero do registro no portal
Parque Nacional Da Tijuca,-22.956.378,-43.278.150,Amphibia,Scinax,Hylidae,Scinax trapicheiroi,1019922,Perereca-de-riacho,,,,,,,,,,,,,,,,,,RJ,,1019922
Parque Nacional Da Tijuca,-22.949.581,-43.284.975,Amphibia,Phasmahyla,Hylidae,Phasmahyla guttata,1019923,,,,,,,,,,,,,,,,,,,RJ,,1019923
Parque Nacional Da Tijuca,-22.949.581,-43.284.975,Amphibia,Hylodes,Hylodidae,Hylodes nasus,1019924,,,,,,,,,,,,,,,,,,,RJ,,1019924
Parque Nacional Da Tijuca,-22.949.581,-43.284.975,Amphibia,Rhinella,Bufonidae,Rhinella ornata,1019925,,,,,,,,,,,,,,,,,,,RJ,,1019925
Parque Nacional Da Tijuca,-22.949.581,-43.284.975,Amphibia,Crossodactylus,Hylodidae,Crossodactylus gaudichaudii,1019926,,,,,,,,,,,,,,,,,,,RJ,,1019926
Parque Nacional Da Tijuca,-22.949.581,-43.284.975,Amphibia,Aplastodiscus,Hylidae,Aplastodiscus albofrenatus,1019927,,,,,,,,,,,,,,,,,,,RJ,,1019927
Parque Nacional Da Tijuca,-22.949.581,-43.284.975,Amphibia,Rhinella,Bufonidae,Rhinella ornata,1019928,,,,,,,,,,,,,,,,,,,RJ,,1019928
Parque Nacional Da Tijuca,-22.949.581,-43.284.975,Amphibia,Scinax,Hylidae,Scinax trapicheiroi,1019929,,,,,,,,,,,,,,,,,,,RJ,,1019929
Parque Nacional Da Tijuca,-22.949.581,-43.284.975,Amphibia,Phasmahyla,Hylidae,Phasmahyla guttata,1019930,,,,,,,,,,,,,,,,,,,RJ,,1019930
Parque Nacional Da Tijuca,-22.949.581,-43.284.975,Amphibia,Crossodactylus,Hylodidae,Crossodactylus gaudichaudii,1019931,,,,,,,,,,,,,,,,,,,RJ,,1019931
Parque Nacional Da Tijuca,-22.949.581,-43.284.975,Amphibia,Aplastodiscus,Hylidae,Aplastodiscus albofrenatus,1019932,,,,,,,,,,,,,,,,,,,RJ,,1019932
Floresta Nacional MÃ¡rio Xavier,-22.723.194,-43.711.361,Amphibia,Physalaemus,Leiuperidae,Physalaemus soaresi,102142,,,,,,,,,,,,,,,,,,,RJ,,102142
Rocio,-22.509.167,-43.188.333,Amphibia,Scinax,Hylidae,Scinax albicans,10181,,,,,,,,,,,,,,,,,,,RJ,,10181
Afloramento Rochoso Na Rodovia,-23.030.408,-43.477.575,Amphibia,Thoropa,Cycloramphidae,Thoropa miliaris,1019322,,,,,,,,,,,,,,,,,,,RJ,,1019322
Afloramento Rochoso Na Rodovia,-23.045.072,-44.595.236,Amphibia,Thoropa,Cycloramphidae,Thoropa miliaris,1019323,,,,,,,,,,,,,,,,,,,RJ,,1019323
Parque Nacional Da Serra Dos Orgãos,-2.245.293,-4.298.289,Amphibia,IN,Bufonidae,IN,1072048,,,,,,,,,,,,,,,,,,,RJ,,1072048
Parque Nacional Da Serra Dos Orgãos,-22.45,-42.986.111,Amphibia,Flectonotus,Hemiphractidae,Flectonotus goeldii,1066009,,,,,,,,,,,,,,,,,,,RJ,,1066009
Parque Nacional De Itatiaia,-22.461.667,-44.610.556,Amphibia,Dendrophryniscus,Bufonidae,IN,1078034,,,,,,,,,,,,,,,,,,,RJ,,1078034
Rocio,-22.509.167,-43.188.333,Amphibia,Scinax,Hylidae,Scinax albicans,10120,,,,,,,,,,,,,,,,,,,RJ,,10120
Reserva Biológica do Tinguái,-22.586.156,-43.438.528,Amphibia,Dendropsophus,Hylidae,Dendropsophus bipunctatus,1012851,,,,,,,,,,,,,,,,,,,RJ,,1012851
Reserva Biológica do Tinguái,-22.586.156,-43.438.528,Amphibia,Phyllomedusa,Hylidae,Phyllomedusa rohdei,1012852,,,,,,,,,,,,,,,,,,,RJ,,1012852
Reserva Biológica do Tinguái,-22.586.156,-43.438.528,Amphibia,Leptodactylus,Leptodactylidae,Leptodactylus fuscus,1012853,,,,,,,,,,,,,,,,,,,RJ,,1012853
Reserva Biológica do Tinguái,-22.586.156,-43.438.528,Amphibia,Dendropsophus,Hylidae,Dendropsophus elegans,1012854,,,,,,,,,,,,,,,,,,,RJ,,1012854
Reserva Biológica do Tinguái,-22.586.156,-43.438.528,Amphibia,Physalaemus,Leiuperidae,Physalaemus signifer,1012855,,,,,,,,,,,,,,,,,,,RJ,,1012855
