ID,order,family,specie,y,x
1319,Actinopterygii,Cyprinodontiformes,Jenynsia,"-22,9417","-42,88"
5241,Characiformes,Characidae,Hyphessobrycon reticulatus,"-22,5908","-43,0769"
4960,Characiformes,Characidae,Astyanax taeniatus,"-22,9661","-43,4797"
4109,Characiformes,Anostomidae,Sem informaçao,"-22,8917","-43,2917"
2247,Actinopterygii,Siluriformes,Rhamdia,"-22,6042","-43,2211"
6100,Siluriformes,Loricariidae,Rineloricaria steindachneri,"-22,5858","-43,0692"
9,Trichoptera,Leptoceridae,Triplectides gracilis,"-22,9564","-43,2899"
2851,Actinopterygii,Siluriformes,Ancistrus,"-22,5797","-43,4208"
6665,Cyprinodontiformes,Poeciliidae,Sem informação,"-22,935","-43,3822"
5631,Cichliformes,Cichlidae,Mesonauta acora,"-22,451","-42,775"
2106,Actinopterygii,Gymnotiformes,Gymnotus,"-22,6136","-43,2281"
33,Trichoptera,Hydrobiosidae,Sem Informações,"-22,9542","-43,2916"
6251,Siluriformes,Loricariidae,Hypostomus affinis,"-22,6472","-43,4516"
2798,Actinopterygii,Siluriformes,Schizolecis,"-22,4419","-42,627"
1554,Actinopterygii,Atheriniformes,Atherinella,"-22,9417","-42,88"
470,Trichoptera,Hydrobiosidae,Sem Informações,"-22,9574","-43,2776"
2537,Actinopterygii,Siluriformes,Pseudotothyris,"-22,5869","-43,4072"
1167,Insecta,Odonata,Erythemis,"-22,453","-42,772"
6511,Siluriformes,Loricariidae,Schizolecis guntheri,"-22,5944","-43,1317"
1277,Actinopterygii,Cyprinodontiformes,Jenynsia,"-22,9492","-42,704"
3357,Actinopterygii,Cyprinodontiformes,Poecilia,"-22,9633","-42,8403"
1265,Actinopterygii,Cyprinodontiformes,Jenynsia,"-22,945","-42,7507"
2107,Actinopterygii,Gymnotiformes,Gymnotus,"-22,5967","-43,2381"
5270,Cichliformes,Cichlidae,Geophagus brasiliensis,"-22,9661","-43,4797"
7119,Cyprinodontiformes,Poeciliidae,Phalloptychus januarius,"-22,9689","-42,9039"
6458,Siluriformes,Loricariidae,Rineloricaria nigricauda,"-22,4356","-42,7589"
2937,Actinopterygii,Siluriformes,Schizolecis,"-22,6122","-43,4181"
6694,Cyprinodontiformes,Poeciliidae,Poecilia vivipara,"-22,9906","-43,4964"
1147,Insecta,Odonata,Erythemis,"-22,453","-42,772"
730,Ephemeroptera,Leptohyphidae,Sem Informações,"-22,9361","-43,4413"
4024,Characiformes,Anostomidae,Leporinus copelandii,"-22,9417","-43,2083"
4435,Characiformes,Characidae,Astyanax hastatus,"-22,9825","-43,4978"
4478,Characiformes,Characidae,Astyanax hastatus,"-22,9667","-43,45"
4349,Siluriformes,Callichthyidae,Scleromystax barbatus,"-22,5914","-43,0908"
2245,Actinopterygii,Siluriformes,Rhamdia,"-22,5967","-43,2381"
5632,Cichliformes,Cichlidae,Geophagus brasiliensis,"-22,9689","-42,9039"
5723,Characiformes,Crenuchidae,Sem informação,"-22,4942","-42,9981"
10,Trichoptera,Leptoceridae,Sem Informações,"-22,9564","-43,2899"
833,Insecta,Coleoptera,Heterelmis,"-22,9636","-43,2667"
5444,Characiformes,Crenuchidae,Sem informação,"-22,3833","-42,5667"
3250,Actinopterygii,Cyprinodontiformes,Phalloptychus,"-22,945","-42,7507"
1740,Actinopterygii,Perciformes,Centropomus,"-22,7083","-43,1417"
1274,Actinopterygii,Cyprinodontiformes,Jenynsia,"-22,951","-42,8133"
6532,Siluriformes,Loricariidae,Hisonotus notatus,"-22,8125","-42,6569"
1527,Actinopterygii,Atheriniformes,Atherinella,"-22,9543","-42,695"
5210,Characiformes,Characidae,Sem informaçao,"-22,6139","-43,4111"
1232,Actinopterygii,Pleuronectiformes,Achirus,"-22,9367","-42,8587"
453,Trichoptera,Hydropsychidae,Sem Informações,"-22,9594","-43,2778"
3376,Actinopterygii,Cyprinodontiformes,Poecilia,"-22,5533","-42,693"
437,Trichoptera,Helicopsychidae,Sem Informações,"-22,9594","-43,2778"
3741,Odonata,Aeshnidae,Anax concolor,"-22,5444","-42,8117"
274,Trichoptera,Hydropsychidae,Sem Informações,"-22,9332","-43,4806"
1268,Actinopterygii,Cyprinodontiformes,Jenynsia,"-22,951","-42,8133"
5250,Characiformes,Characidae,Sem informaçao,"-22,5911","-43,0906"
1281,Actinopterygii,Cyprinodontiformes,Jenynsia,"-22,943","-42,7323"
1058,Insecta,Odonata,Peristicta,"-22,453","-42,772"
450,Trichoptera,Hydrobiosidae,Sem Informações,"-22,9594","-43,2778"
6396,Gymnotiformes,Gymnotidae,Gymnotus carapo,"-22,4489","-42,7717"
1294,Actinopterygii,Cyprinodontiformes,Jenynsia,"-22,9375","-42,7862"
3745,Odonata,Aeshnidae,Anax concolor,"-22,4246","-42,745"
4356,Siluriformes,Callichthyidae,Hoplosternum littorale,"-22,9186","-42,9158"
6489,Siluriformes,Loricariidae,Schizolecis guntheri,"-22,4214","-42,7386"
3859,Odonata,Aeshnidae,Anax concolor,"-22,5504","-42,8198"
2104,Actinopterygii,Gymnotiformes,Gymnotus,"-22,6211","-43,2419"
838,Insecta,Coleoptera,Macrelmis,"-22,9638","-43,2667"
2538,Actinopterygii,Siluriformes,Parotocinclus,"-22,5869","-43,4072"
6362,Siluriformes,Loricariidae,Pareiorhaphis garbei,"-22,4942","-42,9981"
900,Actinopterygii,Siluriformes,Trichomycterus,"-22,5039","-42,8931"
4232,Siluriformes,Callichthyidae,Scleromystax barbatus,"-22,6133","-43,4108"
3251,Actinopterygii,Cyprinodontiformes,Phalloptychus,"-22,945","-42,7507"
4618,Characiformes,Characidae,Bryconamericus ornaticeps,"-22,5792","-43,434"
421,Trichoptera,Hydroptilidae,Sem Informações,"-22,9489","-43,2858"
776,Ephemeroptera,Baetidae,Sem Informações,"-22,9349","-43,4485"
1134,Insecta,Odonata,Orthemis,"-22,453","-42,772"
6120,Siluriformes,Loricariidae,Hypostomus affinis,"-22,5707","-43,3169"
4413,Characiformes,Characidae,Astyanax hastatus,"-22,9906","-43,4964"
6655,Cyprinodontiformes,Poeciliidae,Sem informação,"-22,9728","-43,4197"
3902,Odonata,Aeshnidae,Gynacantha mexicana,"-22,4371","-42,7732"
4422,Characiformes,Characidae,Sem informaçao,"-22,8665","-43,0031"
1165,Insecta,Odonata,Erythemis,"-22,453","-42,772"
4617,Characiformes,Characidae,Mimagoniates microlepis,"-22,6167","-42,7167"
5220,Characiformes,Characidae,Sem informaçao,"-22,4989","-42,905"
7089,Cyprinodontiformes,Poeciliidae,Sem informação,"-22,5817","-43,1633"
1310,Actinopterygii,Cyprinodontiformes,Jenynsia,"-22,9633","-42,8403"
4710,Characiformes,Characidae,Astyanax hastatus,"-22,9683","-43,4942"
4598,Characiformes,Characidae,Sem informaçao,"-22,5911","-43,0906"
1231,Actinopterygii,Pleuronectiformes,Achirus,"-22,943","-42,7323"
3989,Characiformes,Anostomidae,Leporinus copelandii,"-22,8917","-43,2917"
4744,Characiformes,Characidae,Sem informaçao,"-22,5622","-43,2561"
6786,Cyprinodontiformes,Poeciliidae,Phalloceros caudimaculatus,"-22,9667","-43,45"
3241,Actinopterygii,Cyprinodontiformes,Poecilia,"-22,9417","-42,8153"
463,Trichoptera,Leptoceridae,Atanatolica brasiliana,"-22,9542","-43,2916"
6080,Siluriformes,Loricariidae,Parotocinclus maculicauda,"-22,6211","-43,2419"
2109,Actinopterygii,Gymnotiformes,Gymnotus,"-22,6042","-43,2211"
7157,Cyprinodontiformes,Poeciliidae,Sem informação,"-22,5783","-43,0639"
4900,Characiformes,Characidae,Astyanax hastatus,"-22,4356","-42,7589"
4961,Characiformes,Characidae,Sem informaçao,"-22,6472","-43,4516"
451,Trichoptera,Hydropsychidae,Leptonema pallidum,"-22,9594","-43,2778"
4862,Characiformes,Characidae,Astyanax janeiroensis,"-22,4489","-42,7717"
409,Trichoptera,Philopotamidae,Chimarra kontilos,"-22,9542","-43,2916"
3319,Actinopterygii,Cyprinodontiformes,Poecilia,"-22,9375","-42,7862"
778,Ephemeroptera,Baetidae,Sem Informações,"-22,9356","-43,4392"
5228,Characiformes,Characidae,Bryconamericus ornaticeps,"-22,5428","-43,0664"
406,Trichoptera,Leptoceridae,Sem Informações,"-22,9574","-43,2776"
3236,Actinopterygii,Cyprinodontiformes,Phalloptychus,"-22,9417","-42,8153"
3290,Actinopterygii,Cyprinodontiformes,Phalloptychus,"-22,9367","-42,8587"
5174,Characiformes,Characidae,Sem informaçao,"-22,5911","-43,0906"
3344,Actinopterygii,Cyprinodontiformes,Phalloptychus,"-22,9633","-42,8403"
1474,Actinopterygii,Atheriniformes,Atherinella,"-22,951","-42,8133"
