ID_,x_,y_,coliformes_termotolerantes,ph_,oxigenio_dissolvido,DBO_,temperatura_,nitrogenio_total,fosforo_total_,turbidez_,solidos_dissolvidos_totais
1,"-43,177337","-22,487193",12,"8,13","13,42",<2,"17,12","8,1","0,832","5,58",144
2,"-43,151355","-22,474121",13000,"7,62","17,02",4,"17,42","9,2","0,756","4,61",127
3,"-43,135284","-22,403151",13000,"7,05","9,52",<2,"17,10","4,8","0,536","4,60",96
4,"-43,131040","-22,379135",11000,"7,12","9,63",<2,"16,98","5,7","0,434","6,52",87
5,"-43,076508","-22,255192",12000,"6,98","9,49",<2,"18,35","5,0","0,450","4,39",87
6,"-43,104233","-22,231577",6000,"7,21","8,78",<2,"19,38","4,1","0,205","18,20",67
7,"-43,175696","-22,177414",11000,"7,18","8,26",<2,"20,2","3,1","0,215","12,90",63
8,"-43,143791","-22,126670",8200,"7,12","8,30",<2,"20,14","3,2","0,355","16,20",58
9,"-42,917395","-22,249591",10000,"6,59","9,87",<2,"17,83","3,8","0,206","12,40",77
10,"-43,172552","-22,514078",7700,"6,35","7,91",12,"20,79","26,4","2,87","14,30",287
11,"-43,177337","-22,487193",18000,"7,09","6,05",8,"20,27","8,5","0,829","5,37",200
12,"-43,151355","-22,474121",200000,"7,03","6,80",8,"18,72","10,4","1,24","9,91",221
13,"-43,135284","-22,403151",20000,"6,45","6,83",5,"18,65","7,5","0,810","7,07",171
14,"-43,131040","-22,379135",18000,"7,04","7,49",17,"17,45","6,5","0,691","17,50",158
15,"-43,076508","-22,255192",9100,"8,11","7,86",11,"16,8","6,7","0,691","3,75",147
16,"-43,104233","-22,231577",4100,"8,06","7,65",<2,"17,16","4,0","0,278","10,70",113
17,"-43,175696","-22,177414",210,"7,14","7,00",<2,"18,32","3,8","0,242","7,14",111
18,"-43,143791","-22,126670",220,"7,12","7,35",<2,"17,7","3,1","0,272","7,37",114
19,"-42,917395","-22,249591",1800,"8,40","8,64",<2,"15,59","5,3","0,396","6,99",136
20,"-43,185431","-22,517014",110000,"6,78","6,60",14,"19,11","15,7","1,39","13,30",247
21,"-43,177337","-22,487193",2000,"6,31","10,79",15,"18,12","9,0","0,748","3,91",141
22,"-43,151355","-22,474121",2000,"7,12","9,70",12,"19,3","12,6","0,926","6,15",160
23,"-43,135284","-22,403151",<1,"6,67","10,03",5,"18,31","8,6","0,604","4,12",143
24,"-43,131040","-22,379135",9400,"6,97","10,02",<2,"18,33","5,3","0,404","6,10",103
25,"-43,076508","-22,255192",<1,"6,93","9,54",<2,"18,88","6,7","0,525","6,96",118
26,"-43,104233","-22,231577",8200,"6,98","9,52",<2,"19,01","5,7","0,357","11,50",86
27,"-43,175696","-22,177414",1900,"6,95","9,37",<2,"19,21","6,6","0,342","20,50",84
28,"-43,143791","-22,126670",490,"7,02","9,19",<2,"19,48","3,8","0,264","11,30",78
29,"-42,917395","-22,249591",1200,"6,99","9,93",<2,"17,18","5,7","0,336","6,03",94
30,"-43,193097","-22,507103",1100,"7,01","10,63",9,"17,54","5,6","0,406","5,69",119
31,"-43,177337","-22,487193",>2400,"8,37","6,30",45,"24,73","9,4","0,903","4,87",179
32,"-43,151355","-22,474121",1600,"7,98","7,00",12,"23,23","13,0","1,45","8,71",121
33,"-43,135284","-22,403151",1300,"8,32","6,25",6,"24,83","8,9","0,921","3,95",101
34,"-43,131040","-22,379135",1100,"8,18","6,88",20,"23,48","7,8","0,787","7,82",94
35,"-43,076508","-22,255192",2400,"6,61","7,52",8,"22,24","9,2","0,747","8,25",139
36,"-43,104233","-22,231577",1100,"8,75","6,86",6,"23,53","4,8","0,307","10,10",83
37,"-43,175696","-22,177414",3300,"8,07","6,19",7,"24,99","4,8","0,247","7,82",79
38,"-43,143791","-22,126670",100,"8,02","6,61",6,"24,04","4,2","0,245","9,64",79
39,"-42,917395","-22,249591",340,"6,60","8,55",8,"20,48","8,7","0,253","6,51",84
40,"-43,172552","-22,514078",>24000,"8,02","7,42",25,"22,42","25,1","1,83","10,50",398
41,"-43,177337","-22,487193",400,"6,11","6,73",6,"22,66","6,9","0,993","3,58",209
42,"-43,151355","-22,474121",980,"6,12","6,52",6,"22,90","10,3","1,650","6,25",248
43,"-43,135284","-22,403151","<1,0","6,28","6,75",12,"23,02","6,3","0,847","3,95",190
44,"-43,131040","-22,379135",920,"6,49","6,92",8,"24,37","3,8","0,323","20,60",123
45,"-43,076508","-22,255192",15000,"6,87","7,01",11,"24,45","6,0","0,736","90,40",116
46,"-43,104233","-22,231577",6400,"6,49","6,93",10,"25,72","3,8","0,158","114,00",108
47,"-43,175696","-22,177414",9900,"6,84","6,54",11,"24,19","5,1","0,322","330,00",90
48,"-43,143791","-22,126670",730,"7,03","6,75",9,"24,10","4,5","0,290","24,00",92
49,"-42,917395","-22,249591",26000,"7,34","7,12",30,"20,71","4,7","0,466","92,30",74
50,"-43,185431","-22,517014",24000,"7,78","6,84",25,"24,33","13,0","1,38","11,80",195
51,"-43,177337","-22,487193",820,"6,86","7,71",<2,"21,60","7,3","0,639","7,92",161
52,"-43,151355","-22,474121",>240000,"6,84","7,61",7,"21,53","8,2","0,772","5,57",158
53,"-43,135284","-22,403151",3400,"6,92","7,94",<2,"21,34","6,0","0,436","6,72",128
54,"-43,131040","-22,379135",2100,"6,98","6,14",<2,"23,60","5,2","0,562","12,10",89
55,"-43,076508","-22,255192",9200,"6,87","6,65",<2,"23,77","3,7","0,255","8,60",68
56,"-43,104233","-22,231577",2600,"6,95","6,19",<2,"23,52","2,3","0,225","21,70",51
57,"-43,175696","-22,177414",770,"7,02","6,40",<2,"23,75","2,5","0,152","24,90",50
58,"-43,143791","-22,126670",740,"6,96","6,45",<2,"23,35","2,5","0,179","35,20",43
59,"-42,917395","-22,249591",2900,"7,00","6,47",<2,"21,87","4,4","0,217","6,14",71
60,"-43,193103","-22,507103",240000,"7,04","5,29",15,"20,83","12,4","1,07","5,98",201
61,"-43,177337","-22,487193",9800,"6,98","4,56",<2,"21,12","6,0","0,588","6,06",104
62,"-43,151355","-22,474121",>24000,"6,91","3,4",12,"21,77","6,5","0,555","5,11",98
63,"-43,135284","-22,403151",20000,"6,79","4,72",5,"21,26","5,7","0,403","4,52",84
64,"-43,131040","-22,379135",>24000,"6,95","4,21",7,"21,22","3,7","0,341","7,22",77
65,"-43,076508","-22,255192",6900,"7,01","6,42",8,"24,65","6,1","0,322","5,79",73
66,"-43,104233","-22,231577",6300,"7,03","7,39",11,"25,43","<2,0","0,246","51,70",60
67,"-43,175696","-22,177414",2800,"6,98","7,32",6,"25,83","2,1","0,236","80,70",56
68,"-43,143791","-22,126670",410,"7,03","7,23",6,"26,12","5,0","0,268","77,60",57
69,"-42,917395","-22,249591",4000,"7,01","4,14",13,"23,06","3,6","0,218","29,50",71
70,"-43,175808","-22,509419",2400,"6,91","5,7",11,"20,83","6,7","0,560","4,67",91
71,"-43,177337","-22,487193",>24000,"7,15","4,22",9,"24,53","8,3","0,546","28,70",88
72,"-43,151355","-22,474121",>24000,"7,12","4,77",15,"23,97","6,4","0,455","19,80",78
73,"-43,135284","-22,403151",>24000,"6,95","6,79",12,"25,27","3,8","0,403","9,73",45
74,"-43,131040","-22,379135",>24000,"7,13","5,46",7,"25,33","3,4","0,308","12,45",39
75,"-43,076508","-22,255192",14000,"7,06","7,94",15,"25,19","3,5","0,578","11,30",63
