ID,Nome cientifico,Nome cientifico na base de dados,Nivel taxonomico,Numero de individuos,Filo,Classe,Ordemm,Familia,Genero,Especie,Estado de conservacao,Categoria de Ameaca,Localidade,Municipio,Status de Sensibilidade,Latitude,Longitude
3879,Ablabesmyia,Ablabesmyia,Genero,31,Arthropoda,Insecta,Diptera,Chironomidae,Ablabesmyia,Sem Informações,Especie Nao Ameaçada,Sem Informações,Parque Nacional Da Tijuca,Sem Informações,Especie Nao Sensivel,"-22,948,889","-43,285,833"
3880,Caladomyia,Caladomyia,Genero,11,Arthropoda,Insecta,Diptera,Chironomidae,Caladomyia,Sem Informações,Especie Nao Ameaçada,Sem Informações,Parque Nacional Da Tijuca,Sem Informações,Especie Nao Sensivel,"-22,948,889","-43,285,833"
3881,Caladomyia,Caladomyia,Genero,20,Arthropoda,Insecta,Diptera,Chironomidae,Caladomyia,Sem Informações,Especie Nao Ameaçada,Sem Informações,Parque Nacional Da Serra DosÓrgaos,Sem Informações,Especie Nao Sensivel,"-22,449,997","-43,016,664"
3882,Chaoborus brasiliensis,Chaoborus brasiliensis,Especie,1,Arthropoda,Insecta,Diptera,Chaoboridae,Chaoborus,Chaoborus brasiliensis,Especie Nao Ameaçada,Sem Informações,Parque Nacional De Itatiaia,Sem Informações,Especie Nao Sensivel,"-22,359","-44,737,231"
3883,Chironomidae,Chironomidae,Familia,222,Arthropoda,Insecta,Diptera,Chironomidae,Sem Informações,Sem Informações,Especie Nao Ameaçada,Sem Informações,Parque Nacional Da Tijuca,Sem Informações,Especie Nao Sensivel,"-22,956,667","-43,278,056"
3884,Chironomidae,Chironomidae,Familia,696,Arthropoda,Insecta,Diptera,Chironomidae,Sem Informações,Sem Informações,Especie Nao Ameaçada,Sem Informações,Parque Nacional Da Serra Da Bocaina,Sem Informações,Especie Nao Sensivel,-23.35,"-44,733,333"
3885,Chironomidae,Chironomidae,Familia,2.035,Arthropoda,Insecta,Diptera,Chironomidae,Sem Informações,Sem Informações,Especie Nao Ameaçada,Sem Informações,Area de Proteção Ambiental de Cairuçu,Sem Informações,Especie Nao Sensivel,"-23,353,611","-44,654,444"
3886,Chironomidae,Chironomidae,Familia,497,Arthropoda,Insecta,Diptera,Chironomidae,Sem Informações,Sem Informações,Especie Nao Ameaçada,Sem Informações,Area de Proteção Ambiental de Cairuçu,Sem Informações,Especie Nao Sensivel,"-23,338,056","-44,622,778"
3887,Chironomidae,Chironomidae,Familia,1.018,Arthropoda,Insecta,Diptera,Chironomidae,Sem Informações,Sem Informações,Especie Nao Ameaçada,Sem Informações,Area de Proteção Ambiental de Cairuçu,Sem Informações,Especie Nao Sensivel,"-23,327,222","-44,644,444"
3888,Chironomidae,Chironomidae,Familia,980,Arthropoda,Insecta,Diptera,Chironomidae,Sem Informações,Sem Informações,Especie Nao Ameaçada,Sem Informações,Area de Proteção Ambiental de Cairuçu,Sem Informações,Especie Nao Sensivel,"-23,328,889","-44,681,944"
3889,Chironomidae,Chironomidae,Familia,138,Arthropoda,Insecta,Diptera,Chironomidae,Sem Informações,Sem Informações,Especie Nao Ameaçada,Sem Informações,Area de Proteção Ambiental de Cairuçu,Sem Informações,Especie Nao Sensivel,"-233,425","-44,605,556"
3890,Chironomidae,Chironomidae,Familia,304,Arthropoda,Insecta,Diptera,Chironomidae,Sem Informações,Sem Informações,Especie Nao Ameaçada,Sem Informações,Area de Proteção Ambiental de Cairuçu,Sem Informações,Especie Nao Sensivel,"-23,345,833","-44,606,667"
3891,Chironomidae,Chironomidae,Familia,269,Arthropoda,Insecta,Diptera,Chironomidae,Sem Informações,Sem Informações,Especie Nao Ameaçada,Sem Informações,Area de Proteção Ambiental de Cairuçu,Sem Informações,Especie Nao Sensivel,"-23,338,333","-44,703,056"
3892,Chironomidae,Chironomidae,Familia,215,Arthropoda,Insecta,Diptera,Chironomidae,Sem Informações,Sem Informações,Especie Nao Ameaçada,Sem Informações,Area de Proteção Ambiental de Cairuçu,Sem Informações,Especie Nao Sensivel,"-23,324,167","-44,628,611"
3893,Chironomidae,Chironomidae,Familia,485,Arthropoda,Insecta,Diptera,Chironomidae,Sem Informações,Sem Informações,Especie Nao Ameaçada,Sem Informações,Area de Proteção Ambiental de Cairuçu,Sem Informações,Especie Nao Sensivel,"-233,325","-44,631,389"
3894,Chironomidae,Chironomidae,Familia,519,Arthropoda,Insecta,Diptera,Chironomidae,Sem Informações,Sem Informações,Especie Nao Ameaçada,Sem Informações,Area de Proteção Ambiental de Cairuçu,Sem Informações,Especie Nao Sensivel,"-23,331,389","-44,663,611"
