ID,Nome cientifico,Nome cientifico na base de dados,Nivel taxonomico,Numero de individuos,Filo,Classe,Ordemm,Familia,Estado de conservacao,Localidade,Estado/Provincia,Municipio,Latitude,Longitude
3826,Cryphocricos,Cicadellidae,Familia,1,Arthropoda,Insecta,Hemiptera,Cicadellidae,Especie Nao Ameaçada,Margens Da Rodovia Rio - Nova Friburgo,RJ,Cachoeiras De Macacu,"-22,463,889","-42,652,778"
3827,Gelastocoris,Cicadellidae,Familia,1,Arthropoda,Insecta,Hemiptera,Cicadellidae,Especie Nao Ameaçada,Area Urbana as Margens Da Via Dutra,RJ,Pirai,"-22,633,608","-43,904,719"
3828,Gerridae,Cicadellidae,Familia,1,Arthropoda,Insecta,Hemiptera,Cicadellidae,Especie Nao Ameaçada,Area Urbana as Margens Da Via Dutra,RJ,Pirai,"-22,633,608","-43,904,719"
3829,Gerridae,Cicadellidae,Familia,1,Arthropoda,Insecta,Hemiptera,Cicadellidae,Especie Nao Ameaçada,Area Urbana as Margens Da Via Dutra,RJ,Pirai,"-22,633,608","-43,904,719"
3830,Gerridae,Cicadellidae,Familia,1,Arthropoda,Insecta,Hemiptera,Cicadellidae,Especie Nao Ameaçada,Area Urbana as Margens Da Via Dutra,RJ,Pirai,"-22,633,608",]
3831,Gerridae,Cicadellidae,Familia,1,Arthropoda,Insecta,Hemiptera,Cicadellidae,Especie Nao Ameaçada,Area Urbana as Margens Da Via Dutra,RJ,Pirai,"-22,633,608","-43,904,719"
3832,Gerridae,Cicadellidae,Familia,1,Arthropoda,Insecta,Hemiptera,Cicadellidae,Especie Nao Ameaçada,Area Urbana as Margens Da Via Dutra,RJ,Pirai,"-22,633,608","-43,904,719"
3833,Hebridae,Cicadellidae,Familia,1,Arthropoda,Insecta,Hemiptera,Cicadellidae,Especie Nao Ameaçada,Area Urbana as Margens Da Via Dutra,RJ,Pirai,"-22,633,608","-43,904,719"
3834,Hebridae,Cicadellidae,Familia,1,Arthropoda,Insecta,Hemiptera,Cicadellidae,Especie Nao Ameaçada,Area Urbana as Margens Da Via Dutra,RJ,Pirai,"-22,633,608","-43,904,719"
3835,Limnocoris,Membracidae,Familia,1,Arthropoda,Insecta,Hemiptera,Membracidae,Especie Nao Ameaçada,Parque Nacional Da Serra DosÓrgaos,RJ,Sem Informações,"-22,498,056","-43,073,331"
3836,Limnocoris,Reduviidae,Familia,1,Arthropoda,Insecta,Hemiptera,Reduviidae,Especie Nao Ameaçada,Vila De Tarituba,RJ,Parati,"-23,043,889","-44,594,722"
3837,Mesoveliidae,Cicadellidae,Familia,2,Arthropoda,Insecta,Hemiptera,Cicadellidae,Especie Nao Ameaçada,Area Rural,RJ,Nova Iguacu,"-22,759,722","-43,451,667"
