ID,Nome cientifico,Nome cientifico na base de dados,Nivel taxonomico,Numero de individuos,Filo,Classee,Ordemmm,Familia,Genero,Especie,Estado de conservacao,Localidade,Municipio,Status de Sensibilidade,Latitude,Longitude
3745,Ampullariidae,Ampullariidae,Especie,4,Mollusca,Bivalvia,Myoida,Teredinidae,Lyrodus,Lyrodus floridanus,Especie Não Ameaçada,Angra Dos Reis,Angra Dos Reis,Espécie Não Sensível,"-22,956,508","-43,163,147"
3746,Ampullariidae,Ampullariidae,Especie,4,Mollusca,Bivalvia,Myoida,Teredinidae,Bankia,Bankia gouldi,Especie Não Ameaçada,Angra Dos Reis,Angra Dos Reis,Espécie Não Sensível,"-22,956,508","-43,163,147"
3747,Ampullariidae,Ampullariidae,Especie,1,Mollusca,Bivalvia,Myoida,Teredinidae,Lyrodus,Lyrodus floridanus,Especie Não Ameaçada,Angra Dos Reis,Angra Dos Reis,Espécie Não Sensível,"-22,943,239","-43,160,386"
3748,Ampullariidae,Ampullariidae,Especie,2,Mollusca,Bivalvia,Myoida,Teredinidae,Bankia,Bankia fimbriatula,Especie Não Ameaçada,Angra Dos Reis,Angra Dos Reis,Espécie Não Sensível,"-22,943,239","-43,160,386"
3749,Ampullariidae,Ampullariidae,Especie,1,Mollusca,Gastropoda,Nudibranchia,Discodorididae,Geitodoris,Geitodoris pusae,Especie Não Ameaçada,Angra Dos Reis,Angra Dos Reis,Espécie Não Sensível,"-23,052,933","-44,243,972"
3750,Ancylidae,Ancylidae,Especie,5,Mollusca,Bivalvia,Myoida,Teredinidae,Bankia,Bankia gouldi,Especie Não Ameaçada,Reserva Extrativista Marinha Arraial Do Cabo,Arraial Do Cabo,Espécie Não Sensível,"-22,976,561","-42,034,769"
3751,Ancylidae,Ancylidae,Especie,5,Mollusca,Bivalvia,Myoida,Teredinidae,Lyrodus,Lyrodus floridanus,Especie Não Ameaçada,Reserva Extrativista Marinha Arraial Do Cabo,Arraial Do Cabo,Espécie Não Sensível,"-22,976,561","-42,034,769"
3752,Ancylidae,Ancylidae,Especie,4,Mollusca,Bivalvia,Myoida,Teredinidae,Lyrodus,Lyrodus floridanus,Especie Não Ameaçada,Parque Estadual Da Ilha Grande - Peig,Angra Dos Reis,Espécie Não Sensível,"-22,956,508","-43,163,147"
3753,Biomphalaria,Biomphalaria,Familia,6,Mollusca,Gastropoda,Pulmonata,Rhytididae,Sem Informações,Sem Informações,Especie Não Ameaçada,Parque Estadual Da Ilha Grande,Angra Dos Reis,Espécie Não Sensível,"-23,145,858","-44,175,331"
3754,Biomphalaria,Biomphalaria,Familia,5,Mollusca,Gastropoda,Neritopsina,Helicinidae,Sem Informações,Sem Informações,Especie Não Ameaçada,Parque Estadual Da Ilha Grande,Angra Dos Reis,Espécie Não Sensível,"-2,313,025","-44,181,611"
3755,Biomphalaria,Biomphalaria,Classee,5,Mollusca,Gastropoda,Sem Informações,Sem Informações,Sem Informações,Sem Informações,Especie Não Ameaçada,Parque Estadual Da Ilha Grande,Angra Dos Reis,Espécie Não Sensível,"-2,313,025","-44,181,611"
3756,Biomphalaria,Biomphalaria,Familia,6,Mollusca,Gastropoda,Stylommatophora,Charopidae,Sem Informações,Sem Informações,Especie Não Ameaçada,Parque Estadual Da Ilha Grande,Angra Dos Reis,Espécie Não Sensível,"-2,313,025","-44,181,611"
3757,Biomphalaria,Biomphalaria,Familia,5,Mollusca,Gastropoda,Stylommatophora,Helicodiscidae,Sem Informações,Sem Informações,Especie Não Ameaçada,Parque Estadual Da Ilha Grande,Angra Dos Reis,Espécie Não Sensível,"-2,313,025","-44,181,611"
3758,Biomphalaria,Biomphalaria,Familia,4,Mollusca,Gastropoda,Stylommatophora,Subulinidae,Sem Informações,Sem Informações,Especie Não Ameaçada,Parque Estadual Da Ilha Grande,Angra Dos Reis,Espécie Não Sensível,"-2,313,025","-44,181,611"
3759,Biomphalaria,Biomphalaria,Familia,4,Mollusca,Gastropoda,Stylommatophora,Bulimulidae,Sem Informações,Sem Informações,Especie Não Ameaçada,Parque Estadual Da Ilha Grande,Angra Dos Reis,Espécie Não Sensível,"-2,313,025","-44,181,611"
3760,Biomphalaria,Biomphalaria,Familia,6,Mollusca,Gastropoda,Pulmonata,Rhytididae,Sem Informações,Sem Informações,Especie Não Ameaçada,Parque Estadual Da Ilha Grande,Angra Dos Reis,Espécie Não Sensível,"-2,313,025","-44,181,611"
3761,Biomphalaria,Biomphalaria,Familia,6,Mollusca,Gastropoda,Stylommatophora,Streptaxidae,Sem Informações,Sem Informações,Especie Não Ameaçada,Parque Estadual Da Ilha Grande,Angra Dos Reis,Espécie Não Sensível,"-23,145,858","-44,175,331"
3762,Biomphalaria,Biomphalaria,Familia,1,Mollusca,Gastropoda,Stylommatophora,Camaenidae,Sem Informações,Sem Informações,Especie Não Ameaçada,Parque Estadual Da Ilha Grande,Angra Dos Reis,Espécie Não Sensível,"-23,145,858","-44,175,331"
3763,Biomphalaria,Biomphalaria,Familia,5,Mollusca,Gastropoda,Neritopsina,Helicinidae,Sem Informações,Sem Informações,Especie Não Ameaçada,Parque Estadual Da Ilha Grande,Angra Dos Reis,Espécie Não Sensível,"-23,140,469","-44,180,528"
