OBJECTID_1,ID,Ordem,Familia,Especie,X,Y
4381,4481,Characiformes,Characidae,Sem informaçao,"-22,4656","-43,8283"
4345,4443,Characiformes,Characidae,Sem informaçao,"-22,4689","-44,467"
5510,5633,Cichliformes,Cichlidae,Cichla kelberi,"-22,6508","-42,3917"
5128,5241,Characiformes,Characidae,Hyphessobrycon reticulatus,"-22,5908","-43,0769"
4855,4960,Characiformes,Characidae,Astyanax taeniatus,"-22,9661","-43,4797"
5521,5645,Cichliformes,Cichlidae,Geophagus brasiliensis,"-22,287","-41,715"
2174,2214,Actinopterygii,Siluriformes,Pimelodella,"-21,6372","-41,7577"
4841,4945,Characiformes,Characidae,Hyphessobrycon reticulatus,"-22,3708","-41,7869"
4014,4109,Characiformes,Anostomidae,Sem informaçao,"-22,8917","-43,2917"
4696,4796,Characiformes,Characidae,Hyphessobrycon bifasciatus,"-22,2319","-41,6972"
2207,2247,Actinopterygii,Siluriformes,Rhamdia,"-22,6042","-43,2211"
4854,4959,Characiformes,Characidae,Mimagoniates microlepis,"-22,8942","-42,6589"
6024,6161,Characiformes,Erythrinidae,Hoplias malabaricus,"-22,4248","-41,8296"
1943,1982,Actinopterygii,Characiformes,Hoplias,"-21,23","-42,0933"
2801,2851,Actinopterygii,Siluriformes,Ancistrus,"-22,5797","-43,4208"
1899,1938,Actinopterygii,Characiformes,Cyphocharax,"-21,7174","-41,924"
4845,4949,Characiformes,Characidae,Hyphessobrycon bifasciatus,"-22,3708","-41,7869"
2917,2984,Actinopterygii,Siluriformes,Pimelodus,"-21,63","-42,0345"
5104,5217,Characiformes,Characidae,Mimagoniates microlepis,"-22,8847","-42,6472"
5508,5631,Cichliformes,Cichlidae,Mesonauta acora,"-22,451","-42,775"
875,905,Actinopterygii,Siluriformes,Listrura,"-22,429444","-42,03444"
2748,2798,Actinopterygii,Siluriformes,Schizolecis,"-22,4419","-42,627"
4549,4649,Characiformes,Characidae,Sem informaçao,"-22,2025","-43,1547"
5498,5620,Cichliformes,Cichlidae,Geophagus brasiliensis,"-22,4188","-41,861"
2453,2496,Actinopterygii,Siluriformes,Hypostomus,"-21,6372","-41,7577"
4452,4552,Characiformes,Characidae,Hyphessobrycon bifasciatus,"-21,4408","-41,4124"
2541,2588,Actinopterygii,Siluriformes,Ancistrus,"-22,426","-42,1742"
1825,1861,Actinopterygii,Characiformes,Characidium,"-22,9161","-42,6392"
5092,5204,Characiformes,Characidae,Hyphessobrycon bifasciatus,"-22,2858","-41,7297"
907,937,Actinopterygii,Siluriformes,Trichomycterus,"-22,347531","-42,319056"
3960,4053,Characiformes,Anostomidae,Sem informaçao,"-21,7","-42,1167"
2491,2537,Actinopterygii,Siluriformes,Pseudotothyris,"-22,5869","-43,4072"
5553,5678,Cichliformes,Cichlidae,Geophagus brasiliensis,"-22,2056","-41,4658"
5157,5270,Cichliformes,Cichlidae,Geophagus brasiliensis,"-22,9661","-43,4797"
2872,2937,Actinopterygii,Siluriformes,Schizolecis,"-22,6122","-43,4181"
5009,5118,Characiformes,Characidae,Astyanax bimaculatus,"-22,2872","-41,7139"
3933,4024,Characiformes,Anostomidae,Leporinus copelandii,"-22,9417","-43,2083"
2518,2564,Actinopterygii,Siluriformes,Hisonotus,"-22,2259","-42,0047"
4337,4435,Characiformes,Characidae,Astyanax hastatus,"-22,9825","-43,4978"
5111,5224,Characiformes,Characidae,Hyphessobrycon reticulatus,"-22,3708","-41,7869"
2323,2365,Actinopterygii,Siluriformes,Rhamdia,"-22,4583","-42,0372"
