ID,Nome Cientifico na Base de Dados,Nivel Taxonomico,Filo,Familia,Ordemmm,Genero,Especie,Latitude,Longitude
185,Corydoras nattereri,Especie,Chordata,Callichthyidae,Siluriformes,Corydoras,Corydoras nattereri,"-2,248,583,412","-426,594,429"
186,Crenicichla britskii,Especie,Chordata,Cichlidae,Cichliformes,Crenicichla,Crenicichla britskii,"-2,252,861,111","-4,456,916,667"
187,Crenicichla britskii,Especie,Chordata,Cichlidae,Cichliformes,Crenicichla,Crenicichla britskii,"-2,252,861,111","-4,456,916,667"
188,Crenicichla lacustris,Especie,Chordata,Cichlidae,Cichliformes,Crenicichla,Crenicichla lacustris,"-2,113,333,321","-4,168,333,435"
189,Crenicichla lacustris,Especie,Chordata,Cichlidae,Cichliformes,Crenicichla,Crenicichla lacustris,"-2,238,638,878","-4,212,194,443"
190,Cyphocharax gilbert,Especie,Chordata,Curimatidae,Characiformes,Cyphocharax,Cyphocharax gilbert,"-2,288,333,333","-4,378,333,333"
191,Cyphocharax gilbert,Especie,Chordata,Curimatidae,Characiformes,Cyphocharax,Cyphocharax gilbert,"-2,138,277,817","-411,827,774"
192,Deuterodon giton,Especie,Chordata,Characidae,Characiformes,Deuterodon,Deuterodon giton,-22.75,"-4,345,000,076"
193,Deuterodon hastatus,Especie,Chordata,Characidae,Characiformes,Deuterodon,Deuterodon hastatus,"-2,245,833,333","-426,525"
194,Deuterodon luetkenii,Especie,Chordata,Characidae,Characiformes,Deuterodon,Deuterodon luetkenii,"-2,248,583,412","-426,594,429"
195,Deuterodon luetkenii,Especie,Chordata,Characidae,Characiformes,Deuterodon,Deuterodon luetkenii,"-2,251,611,137","-4,232,222,366"
196,Deuterodon luetkenii,Especie,Chordata,Characidae,Characiformes,Deuterodon,Deuterodon luetkenii,"-2,238,638,878","-4,212,194,443"
197,Deuterodon luetkenii,Especie,Chordata,Characidae,Characiformes,Deuterodon,Deuterodon luetkenii,"-2,130,611,038","-4,114,527,893"
198,Deuterodon luetkenii,Especie,Chordata,Characidae,Characiformes,Deuterodon,Deuterodon luetkenii,"-2,138,277,817","-411,827,774"
199,Deuterodon luetkenii,Especie,Chordata,Characidae,Characiformes,Deuterodon,Deuterodon luetkenii,"-2,211,111,069","-4,164,083,481"
200,Deuterodon luetkenii,Especie,Chordata,Characidae,Characiformes,Deuterodon,Deuterodon luetkenii,"-2,211,111,069","-4,164,083,481"
201,Deuterodon taeniatus,Especie,Chordata,Characidae,Characiformes,Deuterodon,Deuterodon taeniatus,-22.65,"-4,238,333,333"
202,Deuterodon taeniatus,Especie,Chordata,Characidae,Characiformes,Deuterodon,Deuterodon taeniatus,"-2,257,277,778","-4,341,833,333"
203,Eleotris pisonis,Especie,Chordata,Eleotridae,Gobiiformes,Eleotris,Eleotris pisonis,"-2,307,638,931","-4,469,749,832"
204,Genidens genidens,Especie,Chordata,Ariidae,Siluriformes,Genidens,Genidens genidens,"-2,298,333,359","-4,340,000,153"
