ID,Identificação,Nome cientifico na base de dados,Nivel Taxonomico,Numero de Individuos,Filo,Classee,Ordemmm,Genero,Especie,Status de Conservação,Localidade,Municipio,Status de Sensibilidade,Latitude ,Longitude 
95,Alligatoridae,Caiman latirostris,Familia,NA,Chordata,Reptilia,Crocodilia,Caiman,Caiman latirostris,NA,Parque_Natural_Municipal_Chico_Mendes_E_Marapendi,,Não_sensivel,"-23,024,019","-4,347,075"
96,Alligatoridae,Caiman latirostris,Familia,NA,Chordata,Reptilia,Crocodilia,Caiman,Caiman latirostris,NA,Parque_Natural_Municipal_Chico_Mendes_E_Marapendi,,Não_sensivel,"-23,024,019","-4,347,075"
97,Alligatoridae,Caiman latirostris,Familia,NA,Chordata,Reptilia,Crocodilia,Caiman,Caiman latirostris,NA,NA,,Não_sensivel,"-2,265,083","-4,239,167"
98,Alligatoridae,Caiman latirostris,Familia,NA,Chordata,Reptilia,Crocodilia,Caiman,Caiman latirostris,NA,Rio_Janeiro_Brazil,,Não_sensivel,-22.9,"-4,323,333"
99,Alligatoridae,Caiman latirostris,Familia,NA,Chordata,Reptilia,Crocodilia,Caiman,Caiman latirostris,NA,Parque_Natural_Municipal_Chico_Mendes_E_Marapendi,,Não_sensivel,"-23,024,019","-4,347,075"
100,Alligatoridae,Caiman latirostris,Familia,NA,Chordata,Reptilia,Crocodilia,Caiman,Caiman latirostris,NA,Parque_Natural_Municipal_Chico_Mendes_E_Marapendi,,Não_sensivel,"-23,024,019","-4,347,075"
101,Alligatoridae,Caiman latirostris,Familia,NA,Chordata,Reptilia,Crocodilia,Caiman,Caiman latirostris,NA,Canal_Das_Tachas,,Não_sensivel,"-23,024,019","-4,347,075"
102,Alligatoridae,Caiman latirostris,Familia,NA,Chordata,Reptilia,Crocodilia,Caiman,Caiman latirostris,NA,Parque_Natural_Municipal_Marapendi,,Não_sensivel,"-23,018,414","-43,445,164"
103,Alligatoridae,Caiman latirostris,Familia,NA,Chordata,Reptilia,Crocodilia,Caiman,Caiman latirostris,NA,Parque_Natural_Municipal_De_Marapendi,,Não_sensivel,"-23,016,153","-43,426,208"
104,Alligatoridae,Caiman latirostris,Familia,NA,Chordata,Reptilia,Crocodilia,Caiman,Caiman latirostris,NA,Parque_Natural_Municipal_Chico_Mendes_E_Marapendi,,Não_sensivel,"-23,024,019","-4,347,075"
105,Alligatoridae,Caiman latirostris,Familia,NA,Chordata,Reptilia,Crocodilia,Caiman,Caiman latirostris,NA,Parque_Natural_Municipal_Chico_Mendes_E_Marapendi,,Não_sensivel,"-23,024,019","-4,347,075"
106,Alligatoridae,Caiman latirostris,Familia,NA,Chordata,Reptilia,Crocodilia,Caiman,Caiman latirostris,NA,Lagoas_Do_Complexo_Lagunar_De_Jacarepagua_EÁreas_Adjacentes,,Não_sensivel,"-23,016,153","-43,426,208"
107,Alligatoridae,Caiman latirostris,Familia,NA,Chordata,Reptilia,Crocodilia,Caiman,Caiman latirostris,NA,Parque_Natural_Municipal_Chico_Mendes,,Não_sensivel,"-23,024,019","-4,347,075"
108,Alligatoridae,Caiman latirostris,Familia,NA,Chordata,Reptilia,Crocodilia,Caiman,Caiman latirostris,NA,,,Não_sensivel,"-2,278,556","-4,331,167"
109,Alligatoridae,Caiman latirostris,Familia,NA,Chordata,Reptilia,Crocodilia,Caiman,Caiman latirostris,NA,Parque_Natural_Municipal_Marapendi,,Não_sensivel,"-23,018,414","-43,445,164"
110,Alligatoridae,Caiman latirostris,Familia,NA,Chordata,Reptilia,Crocodilia,Caiman,Caiman latirostris,NA,Reserva_Ecologia_De_Guapiacu_-_Regua,,Não_sensivel,"-22,538,006","-42,943,153"
111,Alligatoridae,Caiman latirostris,Familia,NA,Chordata,Reptilia,Crocodilia,Caiman,Caiman latirostris,NA,"Rio_Janeiro,Brazil",,Não_sensivel,-22.9,"-4,323,333"
112,Alligatoridae,Caiman latirostris,Familia,NA,Chordata,Reptilia,Crocodilia,Caiman,Caiman latirostris,NA,Canal_Das_Tachas,,Não_sensivel,"-23,024,019","-4,347,075"
113,Alligatoridae,Caiman latirostris,Familia,NA,Chordata,Reptilia,Crocodilia,Caiman,Caiman latirostris,NA,Canais_E_Lagoas_Adjacentes_No_Complexo_Lagunar_De_Jacarepaguá,,Não_sensivel,"-23,018,414","-43,445,164"
114,Alligatoridae,Caiman latirostris,Familia,NA,Chordata,Reptilia,Crocodilia,Caiman,Caiman latirostris,NA,Reserva_Ecologia_De_Guapiacu_-_Regua,,Não_sensivel,"-22,538,006","-42,943,153"
115,Alligatoridae,Caiman latirostris,Familia,NA,Chordata,Reptilia,Crocodilia,Caiman,Caiman latirostris,NA,Parque_Natural_Municipal_Chico_Mendes,,Não_sensivel,"-23,024,019","-4,347,075"
116,Alligatoridae,Caiman latirostris,Familia,NA,Chordata,Reptilia,Crocodilia,Caiman,Caiman latirostris,NA,Parque_Natural_Municipal_De_Marapendi,,Não_sensivel,"-23,016,153","-43,426,208"
117,Alligatoridae,Caiman latirostris,Familia,NA,Chordata,Reptilia,Crocodilia,Caiman,Caiman latirostris,NA,,,Não_sensivel,"-2,290,278","-432,075"
118,Alligatoridae,Caiman latirostris,Familia,NA,Chordata,Reptilia,Crocodilia,Caiman,Caiman latirostris,NA,Parque_Natural_Muncipal_Bosque_Da_Barra,,Não_sensivel,"-22,995","-43,371,389"
119,Alligatoridae,Caiman latirostris,Familia,NA,Chordata,Reptilia,Crocodilia,Caiman,Caiman latirostris,NA,Canal_Das_Tachas,,Não_sensivel,"-23,024,019","-4,347,075"
120,Alligatoridae,Caiman latirostris,Familia,NA,Chordata,Reptilia,Crocodilia,Caiman,Caiman latirostris,NA,Parque_Natural_Municipal_Chico_Mendes,,Não_sensivel,"-23,024,019","-4,347,075"
121,Alligatoridae,Caiman latirostris,Familia,NA,Chordata,Reptilia,Crocodilia,Caiman,Caiman latirostris,NA,,,Não_sensivel,"-2,274,444","-4,285,944"
122,Alligatoridae,Caiman latirostris,Familia,NA,Chordata,Reptilia,Crocodilia,Caiman,Caiman latirostris,NA,Canais_E_Lagoas_Adjacentes_No_Complexo_Lagunar_De_Jacarepaguá,,Não_sensivel,"-23,018,414","-43,445,164"
123,Alligatoridae,Caiman latirostris,Familia,NA,Chordata,Reptilia,Crocodilia,Caiman,Caiman latirostris,NA,Parque_Natural_Muncipal_Bosque_Da_Barra,,Não_sensivel,"-22,995","-43,371,389"
124,Alligatoridae,Caiman latirostris,Familia,NA,Chordata,Reptilia,Crocodilia,Caiman,Caiman latirostris,NA,Parque_Natural_Municipal_Chico_Mendes_E_Marapendi,,Não_sensivel,"-23,024,019","-4,347,075"
125,Alligatoridae,Caiman latirostris,Familia,NA,Chordata,Reptilia,Crocodilia,Caiman,Caiman latirostris,NA,Parque_Natural_Municipal_Chico_Mendes_E_Marapendi,,Não_sensivel,"-23,024,019","-4,347,075"
126,Alligatoridae,Caiman latirostris,Familia,NA,Chordata,Reptilia,Crocodilia,Caiman,Caiman latirostris,NA,Parque_Natural_Municipal_Chico_Mendes_E_Marapendi,,Não_sensivel,"-23,024,019","-4,347,075"
127,Alligatoridae,Caiman latirostris,Familia,NA,Chordata,Reptilia,Crocodilia,Caiman,Caiman latirostris,NA,Complexo_Lagunar_De_Jacarepaguá,,Não_sensivel,"-23,018,414","-43,445,164"
128,Alligatoridae,Caiman latirostris,Familia,NA,Chordata,Reptilia,Crocodilia,Caiman,Caiman latirostris,NA,Parque_Natural_Muncipal_Bosque_Da_Barra,,Não_sensivel,"-22,995","-43,371,389"
129,Alligatoridae,Caiman latirostris,Familia,NA,Chordata,Reptilia,Crocodilia,Caiman,Caiman latirostris,NA,Parque_Natural_Municipal_Chico_Mendes_E_Marapendi,,Não_sensivel,"-23,024,019","-4,347,075"
130,Alligatoridae,Caiman latirostris,Familia,NA,Chordata,Reptilia,Crocodilia,Caiman,Caiman latirostris,NA,Complexo_Lagunar_De_Jacarepaguá,,Não_sensivel,"-23,018,414","-43,445,164"
131,Alligatoridae,Caiman latirostris,Familia,NA,Chordata,Reptilia,Crocodilia,Caiman,Caiman latirostris,NA,Parque_Natural_Municipal_Chico_Mendes_E_Marapendi,,Não_sensivel,"-23,024,019","-4,347,075"
132,Alligatoridae,Caiman latirostris,Familia,NA,Chordata,Reptilia,Crocodilia,Caiman,Caiman latirostris,NA,Complexo_Lagunar_De_Jacarepaguá,,Não_sensivel,"-23,018,414","-43,445,164"
133,Alligatoridae,Caiman latirostris,Familia,NA,Chordata,Reptilia,Crocodilia,Caiman,Caiman latirostris,NA,Parque_Natural_Municipal_Chico_Mendes_E_Marapendi,,Não_sensivel,"-23,024,019","-4,347,075"
134,Alligatoridae,Caiman latirostris,Familia,NA,Chordata,Reptilia,Crocodilia,Caiman,Caiman latirostris,NA,Parque_Natural_Municipal_Chico_Mendes_E_Marapendi,,Não_sensivel,"-23,024,019","-4,347,075"
